frame,timestamp,track_id,class,x1,y1,x2,y2,confidence
445,13:49:25,6,person,603,349,1118,718,0.732
447,13:49:25,6,person,604,340,1128,716,0.890
449,13:49:25,6,person,602,326,1142,714,0.893
451,13:49:25,6,person,600,313,1154,713,0.914
453,13:49:25,6,person,598,300,1164,713,0.902
455,13:49:25,6,person,595,286,1172,713,0.912
457,13:49:25,6,person,593,275,1178,713,0.912
459,13:49:25,6,person,592,267,1180,713,0.902
461,13:49:26,6,person,595,264,1179,714,0.893
463,13:49:26,6,person,598,266,1174,713,0.906
465,13:49:26,6,person,619,279,1173,713,0.851
467,13:49:26,6,person,631,289,1169,713,0.869
469,13:49:26,6,person,631,297,1159,713,0.892
471,13:49:26,6,person,635,303,1155,714,0.886
473,13:49:26,6,person,643,308,1155,714,0.902
475,13:49:27,6,person,645,310,1154,714,0.889
477,13:49:27,6,person,637,309,1148,713,0.882
479,13:49:27,6,person,639,307,1151,713,0.881
481,13:49:27,6,person,633,302,1150,713,0.863
483,13:49:27,6,person,634,301,1152,713,0.868
485,13:49:27,6,person,627,298,1148,713,0.897
487,13:49:27,6,person,619,294,1145,714,0.905
489,13:49:27,6,person,621,294,1144,713,0.897
491,13:49:28,6,person,624,302,1136,713,0.899
493,13:49:28,6,person,626,304,1135,713,0.918
495,13:49:28,6,person,624,302,1135,713,0.919
497,13:49:28,6,person,626,305,1134,713,0.923
499,13:49:28,6,person,625,305,1134,713,0.909
501,13:49:28,6,person,644,305,1157,713,0.917
503,13:49:28,6,person,682,311,1192,713,0.883
505,13:49:29,6,person,758,322,1252,712,0.899
507,13:49:29,6,person,825,323,1280,710,0.917
509,13:49:29,6,person,897,318,1280,710,0.672
513,13:49:29,10,person,46,213,280,713,0.905
515,13:49:29,10,person,94,267,307,713,0.922
517,13:49:29,10,person,124,294,333,714,0.913
519,13:49:29,10,person,138,300,354,715,0.886
521,13:49:30,10,person,143,294,375,715,0.882
523,13:49:30,10,person,139,300,382,716,0.871
525,13:49:30,10,person,124,296,384,716,0.904
527,13:49:30,10,person,108,279,391,716,0.916
529,13:49:30,10,person,98,271,399,716,0.922
531,13:49:30,10,person,94,267,413,716,0.905
533,13:49:30,10,person,114,269,454,717,0.816
535,13:49:30,10,person,197,288,543,716,0.731
537,13:49:31,10,person,288,298,646,717,0.833
539,13:49:31,10,person,320,298,695,718,0.859
541,13:49:31,10,person,326,297,718,718,0.867
543,13:49:31,10,person,321,294,729,717,0.864
545,13:49:31,10,person,313,290,737,718,0.863
547,13:49:31,10,person,305,289,744,718,0.875
549,13:49:31,10,person,296,288,747,718,0.870
551,13:49:31,10,person,290,288,751,718,0.866
553,13:49:31,10,person,282,287,753,718,0.870
555,13:49:32,10,person,275,286,756,718,0.869
557,13:49:32,10,person,269,286,758,718,0.864
559,13:49:32,10,person,264,287,760,719,0.868
561,13:49:32,10,person,259,287,762,719,0.866
563,13:49:32,10,person,255,285,765,718,0.862
565,13:49:32,10,person,251,284,767,718,0.881
567,13:49:32,10,person,246,283,768,717,0.880
569,13:49:33,10,person,244,283,769,717,0.881
571,13:49:33,10,person,245,283,775,718,0.880
573,13:49:33,10,person,245,282,781,717,0.870
575,13:49:33,10,person,245,282,786,718,0.891
577,13:49:33,10,person,245,283,788,717,0.899
579,13:49:33,10,person,243,284,791,717,0.886
581,13:49:33,10,person,244,286,792,717,0.890
583,13:49:33,10,person,242,287,793,717,0.890
585,13:49:34,10,person,240,287,796,717,0.885
587,13:49:34,10,person,236,285,796,717,0.890
589,13:49:34,10,person,233,284,798,718,0.890
591,13:49:34,10,person,232,284,799,718,0.891
593,13:49:34,10,person,231,284,801,718,0.891
595,13:49:34,10,person,230,284,802,718,0.895
597,13:49:34,10,person,230,284,803,718,0.894
599,13:49:34,10,person,225,283,799,718,0.881
601,13:49:35,10,person,225,283,800,718,0.889
603,13:49:35,10,person,224,283,800,717,0.882
605,13:49:35,10,person,225,284,800,717,0.896
607,13:49:35,10,person,224,283,801,718,0.894
609,13:49:35,10,person,224,283,801,717,0.889
611,13:49:35,10,person,221,283,800,717,0.889
613,13:49:35,10,person,222,282,802,717,0.885
615,13:49:35,10,person,231,285,808,717,0.885
617,13:49:36,10,person,224,282,806,717,0.871
619,13:49:36,10,person,217,277,805,716,0.883
621,13:49:36,10,person,198,267,797,716,0.878
623,13:49:36,10,person,190,265,790,717,0.861
625,13:49:36,10,person,188,260,794,717,0.881
627,13:49:36,10,person,183,256,794,717,0.879
629,13:49:36,10,person,181,250,798,716,0.898
631,13:49:37,10,person,177,247,797,717,0.883
633,13:49:37,10,person,175,247,795,716,0.889
635,13:49:37,10,person,174,245,796,716,0.889
637,13:49:37,10,person,173,246,794,716,0.894
639,13:49:37,10,person,174,247,793,716,0.882
641,13:49:37,10,person,173,246,795,716,0.883
643,13:49:37,10,person,174,246,795,716,0.879
645,13:49:37,10,person,177,249,794,716,0.892
647,13:49:38,10,person,176,246,797,717,0.891
